model,threshold,TN,FP,FN,TP,precision,recall,f1
raw_tree_model,0.1,1270692,189,199,1444,0.8842620943049602,0.8788800973828362,0.8815628815628815
raw_tree_model,0.2,1270692,189,199,1444,0.8842620943049602,0.8788800973828362,0.8815628815628815
raw_tree_model,0.3,1270692,189,199,1444,0.8842620943049602,0.8788800973828362,0.8815628815628815
raw_tree_model,0.4,1270692,189,199,1444,0.8842620943049602,0.8788800973828362,0.8815628815628815
raw_tree_model,0.5,1270692,189,199,1444,0.8842620943049602,0.8788800973828362,0.8815628815628815
raw_tree_model,0.6,1270692,189,199,1444,0.8842620943049602,0.8788800973828362,0.8815628815628815
raw_tree_model,0.7,1270692,189,199,1444,0.8842620943049602,0.8788800973828362,0.8815628815628815
raw_tree_model,0.8,1270692,189,199,1444,0.8842620943049602,0.8788800973828362,0.8815628815628815
raw_tree_model,0.9,1270692,189,199,1444,0.8842620943049602,0.8788800973828362,0.8815628815628815
controlled_tree_model,0.1,1270795,86,396,1247,0.9354838709677419,0.7589774802191114,0.8380376344086021
controlled_tree_model,0.2,1270795,86,396,1247,0.9354838709677419,0.7589774802191114,0.8380376344086021
controlled_tree_model,0.3,1270803,78,401,1242,0.9409090909090909,0.7559342665855143,0.8383395207559905
controlled_tree_model,0.4,1270809,72,406,1237,0.944996180290298,0.7528910529519173,0.8380758807588076
controlled_tree_model,0.5,1270809,72,406,1237,0.944996180290298,0.7528910529519173,0.8380758807588076
controlled_tree_model,0.6,1270825,56,435,1208,0.9556962025316456,0.7352404138770542,0.8310973512211902
controlled_tree_model,0.7,1270825,56,435,1208,0.9556962025316456,0.7352404138770542,0.8310973512211902
controlled_tree_model,0.8,1270864,17,499,1144,0.9853574504737296,0.6962872793670115,0.8159771754636234
controlled_tree_model,0.9,1270869,12,522,1121,0.9894086496028244,0.682288496652465,0.8076368876080692
