model,threshold,TN,FP,FN,TP,precision,recall,f1
baseline,0.1,1270449,432,758,885,0.6719817767653758,0.5386488131466829,0.597972972972973
baseline,0.2,1270693,188,863,780,0.8057851239669421,0.47474132684114423,0.5974722328609728
baseline,0.3,1270771,110,908,735,0.8698224852071006,0.44735240413877053,0.5908360128617364
baseline,0.4,1270806,75,948,695,0.9025974025974026,0.4230066950699939,0.5760464152507252
baseline,0.5,1270829,52,971,672,0.9281767955801105,0.40900791235544737,0.5678073510773131
baseline,0.6,1270846,35,991,652,0.9490538573508006,0.39683505782105905,0.559656652360515
baseline,0.7,1270861,20,1017,626,0.9690402476780186,0.3810103469263542,0.5469637396242901
baseline,0.8,1270868,13,1054,589,0.978405315614618,0.3584905660377358,0.5247216035634744
baseline,0.9,1270873,8,1087,556,0.9858156028368794,0.33840535605599514,0.5038513819664703
balanced,0.1,969559,301322,6,1637,0.005403371413293548,0.9963481436396835,0.010748452078449912
balanced,0.2,1064567,206314,8,1635,0.007862504748760513,0.9951308581862447,0.015601740524447499
balanced,0.3,1131040,139841,20,1623,0.011472883560481819,0.9878271454656117,0.022682328607265892
balanced,0.4,1177140,93741,46,1597,0.016750928276238225,0.9720024345709068,0.032934286097276784
balanced,0.5,1205997,64884,66,1577,0.023728201501632535,0.9598295800365185,0.04631152355221426
balanced,0.6,1225599,45282,113,1530,0.03268392719815432,0.931223371880706,0.06315137756681458
balanced,0.7,1240699,30182,174,1469,0.04641243562604657,0.8940961655508217,0.08824412807112393
balanced,0.8,1252449,18432,259,1384,0.06984255147355672,0.8423615337796714,0.12899016729577334
balanced,0.9,1261830,9051,377,1266,0.12271009014248328,0.7705416920267802,0.2117056856187291
