model,threshold,TN,FP,FN,TP,precision,recall,f1
controlled_forest_model,0.1,1270653,228,382,1261,0.8468770987239759,0.7674984783931832,0.8052362707535121
controlled_forest_model,0.2,1270799,82,401,1242,0.9380664652567976,0.7559342665855143,0.8372093023255814
controlled_forest_model,0.3,1270818,63,404,1239,0.9516129032258065,0.7541083384053561,0.8414261460101867
controlled_forest_model,0.4,1270847,34,415,1228,0.9730586370839936,0.7474132684114425,0.8454388984509467
controlled_forest_model,0.5,1270870,11,450,1193,0.9908637873754153,0.7261107729762629,0.8380751668422901
controlled_forest_model,0.6,1270879,2,481,1162,0.9982817869415808,0.707242848447961,0.827930174563591
controlled_forest_model,0.7,1270879,2,529,1114,0.9982078853046595,0.6780279975654291,0.8075389633925335
controlled_forest_model,0.8,1270880,1,632,1011,0.9990118577075099,0.6153377967133292,0.7615819209039548
controlled_forest_model,0.9,1270881,0,956,687,1.0,0.4181375532562386,0.5896995708154507
stronger_forest_model,0.1,1270567,314,264,1379,0.8145304193738925,0.8393183201460742,0.8267386091127098
stronger_forest_model,0.2,1270772,109,355,1288,0.9219756621331424,0.7839318320146075,0.8473684210526315
stronger_forest_model,0.3,1270805,76,390,1253,0.9428141459744168,0.7626293365794279,0.8432032301480484
stronger_forest_model,0.4,1270833,48,399,1244,0.9628482972136223,0.7571515520389531,0.8477001703577512
stronger_forest_model,0.5,1270848,33,407,1236,0.9739952718676123,0.7522824102251978,0.8489010989010989
stronger_forest_model,0.6,1270871,10,417,1226,0.9919093851132686,0.7461959829580036,0.8516846127127475
stronger_forest_model,0.7,1270878,3,459,1184,0.9974726200505476,0.7206329884357882,0.8367491166077738
stronger_forest_model,0.8,1270879,2,507,1136,0.9982425307557118,0.6914181375532562,0.8169723121179432
stronger_forest_model,0.9,1270880,1,600,1043,0.9990421455938697,0.6348143639683506,0.7763304800893189
